,RMSD_6eqe_1
1167,0.17141628
1168,0.16650395
1169,0.17477833
1170,0.17150846
1171,0.16488397
1172,0.17482938
1173,0.17323281
1174,0.17090994
1175,0.17153819
1176,0.16269265
1177,0.17033026
1178,0.16860496
1179,0.1652654
1180,0.16430165
1181,0.16789135
1182,0.18259875
1183,0.17961624
1184,0.16565672
1185,0.17256494
1186,0.16821444
1187,0.16634312
1188,0.17515422
1189,0.17203529
1190,0.17310473
1191,0.1649458
1192,0.16832654
1193,0.17143859
1194,0.17230771
1195,0.17179063
1196,0.16865484
1197,0.16682972
1198,0.1660164
1199,0.1734725
1200,0.16458067
1201,0.17110074
1202,0.16914986
1203,0.17002618
1204,0.17128985
1205,0.17185739
1206,0.17085026
1207,0.16601178
1208,0.16097891
1209,0.16966447
1210,0.1625453
1211,0.17033774
1212,0.17041703
1213,0.16885725
1214,0.16510953
1215,0.16817959
1216,0.1653132
1217,0.16458997
1218,0.16146906
1219,0.16794296
1220,0.16076817
1221,0.16485615
1222,0.16417438
1223,0.16518672
1224,0.16800214
1225,0.16724786
1226,0.15787703
1227,0.16491026
1228,0.16216691
1229,0.16466275
1230,0.16056827
1231,0.1619278
1232,0.16105807
1233,0.16746111
1234,0.16884215
1235,0.16708471
1236,0.1655197
1237,0.16640748
1238,0.16055556
1239,0.16182703
1240,0.16743524
1241,0.16754633
1242,0.16401282
1243,0.16350693
1244,0.165609
1245,0.16727987
1246,0.16495043
1247,0.16806586
1248,0.16414487
1249,0.16907601
1250,0.17117074
1251,0.16931404
1252,0.17859721
1253,0.17210343
1254,0.16978613
1255,0.17343281
1256,0.16416816
1257,0.17061885
1258,0.16729054
1259,0.16354434
1260,0.17546684
1261,0.17421007
1262,0.17525025
1263,0.17665696
1264,0.16637224
1265,0.1695232
1266,0.16767865
1267,0.16196243
1268,0.16316827
1269,0.1587112
1270,0.15862766
1271,0.16719452
1272,0.16088547
1273,0.16790804
1274,0.16394131
1275,0.16527002
1276,0.16774553
1277,0.16961189
1278,0.17370011
1279,0.17157385
1280,0.16632167
1281,0.171847
1282,0.17194487
1283,0.16095833
1284,0.16385421
1285,0.16297287
1286,0.17001268
1287,0.16143748
1288,0.16451406
1289,0.1684537
1290,0.1699407
1291,0.16420698
1292,0.16548736
1293,0.16143116
1294,0.16023931
1295,0.17079952
1296,0.16199705
1297,0.16173564
1298,0.15968634
1299,0.1548612
1300,0.15878667
1301,0.16794752
1302,0.16757524
1303,0.16429234
1304,0.15817545
1305,0.15486942
1306,0.15762496
1307,0.15899202
1308,0.1568419
1309,0.16341648
1310,0.16212918
1311,0.1617183
1312,0.1581529
1313,0.15464541
1314,0.15923715
1315,0.15858427
1316,0.16362537
1317,0.1679976
1318,0.16152903
1319,0.15816417
1320,0.16534713
1321,0.16024727
1322,0.16231932
1323,0.16532862
1324,0.16279759
1325,0.16631554
1326,0.17061287
1327,0.16507247
1328,0.16267541
1329,0.1626519
1330,0.1677744
1331,0.15734006
1332,0.16273181
1333,0.16685265
1334,0.17176689
1335,0.16563055
1336,0.16804463
1337,0.17015356
1338,0.16432337
1339,0.1584508
1340,0.15912344
1341,0.15740648
1342,0.16742457
1343,0.16480201
1344,0.17064723
1345,0.1689327
1346,0.17485853
1347,0.1652438
1348,0.16386665
1349,0.16602714
1350,0.16607474
1351,0.16648865
1352,0.15857944
1353,0.16529933
1354,0.16676708
1355,0.173772
1356,0.17082937
1357,0.16987468
1358,0.172213
1359,0.17034672
1360,0.17202047
1361,0.16157006
1362,0.16825989
1363,0.15713905
1364,0.15686141
1365,0.16868809
1366,0.16316514
1367,0.15757966
1368,0.15665652
1369,0.1597773
1370,0.1565214
1371,0.16228162
1372,0.15192813
1373,0.1602743
1374,0.16803704
1375,0.15807228
1376,0.15827857
1377,0.16469525
1378,0.15855694
1379,0.16463643
1380,0.16883309
1381,0.17111415
1382,0.16064604
1383,0.16817655
1384,0.16495043
1385,0.1663937
1386,0.16279446
1387,0.16809164
1388,0.16812803
1389,0.16837348
1390,0.17242011
1391,0.16253118
1392,0.15904492
1393,0.1648082
1394,0.16120362
1395,0.16596572
1396,0.16664016
1397,0.16604711
1398,0.1624747
1399,0.165361
1400,0.16853388
1401,0.16175455
1402,0.16815835
1403,0.1624088
1404,0.16776831
1405,0.16747786
1406,0.16104382
1407,0.16439782
1408,0.15993518
1409,0.15905133
1410,0.16023135
1411,0.16418369
1412,0.15872245
1413,0.16002919
1414,0.15831882
1415,0.16173248
1416,0.16906545
1417,0.16561516
1418,0.16398019
1419,0.16619748
1420,0.16368611
1421,0.16123998
1422,0.16099158
1423,0.16882403
1424,0.16055715
1425,0.16063175
1426,0.1626284
1427,0.15983951
1428,0.16628028
1429,0.16585663
1430,0.15721364
1431,0.1681432
1432,0.16455744
1433,0.14626385
1434,0.15883483
1435,0.1604412
1436,0.15164262
1437,0.15484639
1438,0.15402769
1439,0.158663
1440,0.15799485
1441,0.16012314
1442,0.16032836
1443,0.1513751
1444,0.15856498
1445,0.16448772
1446,0.16557822
1447,0.16511416
1448,0.163848
1449,0.15361173
1450,0.16126527
1451,0.15818352
1452,0.15839449
1453,0.15300983
1454,0.15600592
1455,0.16363472
1456,0.1564986
1457,0.1522449
1458,0.16107073
1459,0.1599017
1460,0.1611103
1461,0.16228633
1462,0.16618828
1463,0.1599272
1464,0.15802228
1465,0.1636425
1466,0.1587128
1467,0.16370635
1468,0.15829305
1469,0.16334315
1470,0.1619703
1471,0.16358486
1472,0.16801429
1473,0.16122575
1474,0.16386355
1475,0.16756916
1476,0.17123328
1477,0.17082192
1478,0.16075866
1479,0.16806586
1480,0.16316514
1481,0.16770297
1482,0.16374528
1483,0.16211188
1484,0.17422469
1485,0.17025991
1486,0.16628028
1487,0.15511942
1488,0.16555512
1489,0.16070633
1490,0.16084744
1491,0.16516973
1492,0.16391799
1493,0.167823
1494,0.16195615
1495,0.16178448
1496,0.16097258
1497,0.16239467
1498,0.16312452
1499,0.16374995
1500,0.16729815
1501,0.16278036
1502,0.16114984
1503,0.16519752
1504,0.16849758
1505,0.1627741
1506,0.16986418
1507,0.1685989
1508,0.16874398
1509,0.16962992
1510,0.17202196
1511,0.16971405
1512,0.16861251
1513,0.17113946
1514,0.15920351
1515,0.16525306
1516,0.162346
1517,0.16476025
1518,0.15531813
1519,0.16244803
1520,0.16114193
1521,0.15543133
1522,0.15624592
1523,0.15602879
1524,0.15793192
1525,0.1571504
1526,0.15763627
1527,0.15407568
1528,0.1572023
1529,0.16973357
1530,0.16650549
1531,0.16545808
1532,0.16402058
1533,0.16430475
1534,0.16807951
1535,0.16099158
1536,0.15932035
1537,0.16159214
1538,0.16077927
1539,0.16165209
1540,0.15602715
1541,0.16552278
1542,0.16014223
1543,0.15593073
1544,0.16375461
1545,0.16017567
1546,0.16054128
1547,0.16261116
1548,0.16064286
1549,0.16415575
1550,0.16473705
1551,0.16075073
1552,0.15790771
1553,0.1575635
1554,0.15782374
1555,0.16207886
1556,0.15789318
1557,0.16150063
1558,0.16399728
1559,0.15692315
1560,0.15753761
1561,0.16110714
1562,0.15407899
1563,0.15935716
1564,0.15809163
1565,0.16304636
1566,0.16620669
1567,0.16228318
1568,0.16158426
1569,0.166021
1570,0.1625108
1571,0.16140115
1572,0.16021067
1573,0.16673191
1574,0.1602584
1575,0.16879988
1576,0.16852632
1577,0.16838408
1578,0.17142224
1579,0.16621895
1580,0.16601333
1581,0.1670084
1582,0.1604412
1583,0.16202852
1584,0.16678083
1585,0.1653425
1586,0.17225297
1587,0.16398329
1588,0.1648515
1589,0.16716403
1590,0.16364872
1591,0.16131268
1592,0.16472466
1593,0.1615953
1594,0.16491798
1595,0.16427061
1596,0.16084902
1597,0.17364873
1598,0.1729353
1599,0.1667579
1600,0.16855203
1601,0.15972465
1602,0.16782756
1603,0.17208566
1604,0.16955176
1605,0.16877571
1606,0.17172977
1607,0.17455651
1608,0.16167574
1609,0.16816594
1610,0.16964795
1611,0.16413401
1612,0.16596879
1613,0.1675935
1614,0.16883309
1615,0.17489205
1616,0.17529824
1617,0.16896288
1618,0.1757267
1619,0.17221153
1620,0.17391863
